Epoch Time (s),Vehicle State
1473877464.717431,5
1473877465.717457,5
1473877466.717424,5
1473877467.718734,5
1473877468.717439,5
1473877469.717449,5
1473877470.718030,5
1473877471.717449,5
1473877472.718204,5
1473877473.717428,5
1473877474.717432,5
1473877475.719286,5
1473877476.717842,5
1473877477.720120,5
1473877478.717435,5
1473877479.717747,5
1473877480.717451,5
1473877481.717920,5
1473877482.717762,5
1473877483.717443,5
1473877484.717449,5
1473877485.717429,5
1473877486.717444,5
1473877487.717443,5
1473877488.719029,5
1473877489.717476,5
1473877490.717443,5
1473877491.717445,5
1473877492.717417,5
1473877493.717403,5
1473877494.717927,5
1473877495.718335,5
1473877496.719782,5
1473877497.717483,5
1473877498.717449,5
1473877499.717488,5
1473877500.717436,5
1473877501.717475,5
1473877502.717443,5
1473877503.717488,5
1473877504.717950,5
1473877505.717436,5
1473877506.717439,5
1473877507.717417,5
1473877508.717436,5
1473877509.717432,5
1473877510.719075,5
1473877511.717463,5
1473877512.717434,5
1473877513.717457,5
1473877514.717591,5
1473877515.717460,5
1473877516.717430,5
1473877517.717768,5
1473877518.718433,5
1473877519.718491,5
1473877520.717435,5
1473877521.717436,5
1473877522.717446,5
1473877523.717427,5
1473877524.717438,5
1473877525.717435,5
1473877526.718560,5
1473877527.720856,5
1473877528.721263,5
1473877529.719359,5
1473877530.721485,5
1473877531.717453,5
1473877532.718835,5
1473877533.717573,5
1473877534.717628,5
1473877535.717423,5
1473877536.717597,5
1473877537.718831,5
1473877538.717523,5
1473877539.717418,5
1473877540.717443,5
1473877541.717448,5
1473877542.717431,5
1473877543.717468,5
1473877544.717437,5
1473877545.717443,5
1473877546.717433,5
1473877547.717609,5
1473877548.717479,5
1473877549.717420,5
1473877550.717414,5
1473877551.717418,5
1473877552.718329,5
1473877553.717458,5
1473877554.717447,5
1473877555.717452,5
1473877556.717410,5
1473877557.717475,5
1473877558.717924,5
1473877559.717487,5
1473877560.717473,5
1473877561.717444,5
1473877562.717446,5
1473877563.717455,5
1473877564.717449,5
1473877565.717436,5
1473877566.717619,5
1473877567.717428,5
1473877568.717583,5
1473877569.720444,5
1473877570.717895,5
1473877571.717425,5
1473877572.717577,5
1473877573.717447,5
1473877574.718264,5
1473877575.719238,5
1473877576.723396,5
1473877577.720634,5
1473877578.720640,5
1473877579.717448,5
1473877580.717937,5
1473877581.717425,5
1473877582.718393,5
1473877583.717731,5
1473877584.717770,5
1473877585.717436,5
1473877586.718124,5
1473877587.717670,5
1473877588.717454,5
1473877589.717440,5
1473877590.717478,5
1473877591.717475,5
1473877592.718139,5
1473877593.717442,5
1473877594.717953,5
1473877595.719402,5
1473877596.718814,5
1473877597.717466,5
1473877598.717446,5
1473877599.717567,5
1473877600.717949,5
1473877601.717456,5
1473877602.717699,5
1473877603.717450,5
1473877604.717450,5
1473877605.717524,5
1473877606.718713,5
1473877607.717458,5
1473877608.718823,5
1473877609.718434,5
1473877610.717467,5
1473877611.717451,5
1473877612.717459,5
1473877613.717455,5
1473877614.717982,5
1473877615.717449,5
1473877616.717428,5
1473877617.717481,5
1473877618.718537,5
1473877619.718334,5
1473877620.719324,5
1473877621.717426,5
1473877622.718549,5
1473877623.718338,5
1473877624.717444,5
1473877625.718626,5
1473877626.718430,5
1473877627.717492,5
1473877628.717419,5
1473877629.717716,5
1473877630.717425,5
1473877631.718929,5
1473877632.717445,5
1473877633.719105,5
1473877634.717479,5
1473877635.717454,5
1473877636.717424,5
1473877637.719355,5
1473877638.717922,5
1473877639.717440,5
1473877640.717640,5
1473877641.717425,5
1473877642.717954,5
1473877643.717449,5
1473877644.717440,5
1473877645.718205,5
1473877646.717431,5
1473877647.717445,5
1473877648.717459,5
1473877649.717433,5
1473877650.717452,5
1473877651.717433,5
1473877652.717463,5
1473877653.717431,5
1473877654.717454,5
1473877655.717479,5
1473877656.717443,5
1473877657.718205,5
1473877658.717414,5
1473877659.717432,5
1473877660.717601,5
1473877661.717428,5
1473877662.717570,5
1473877663.717460,5
1473877664.717448,5
1473877665.717454,5
1473877666.717463,5
1473877667.717436,5
1473877668.717466,5
1473877669.717437,5
1473877670.717456,5
1473877671.717482,5
